,player_name,team,runs,no_of_matches,no_of_innings,no_of_time_notout,highest_score,average,no_of_ballsfaced,strikerate,no_of_century,no_of_halfcentury,no_of_fours,no_of_sixes,runs_per_match,boundary_runs,boundary_percentage
108,Gerald Coetzee,GT,17,4,2,0,12,8.50,11,154.54,0,0,2,1,4.25,14,82.35294117647058
109,Jamie Overton,CSK,15,3,2,2,11*,-,7,214.28,0,0,1,1,5.0,10,66.66666666666666
110,Anshul Kamboj,CSK,14,8,5,3,5*,7.00,12,116.66,0,0,2,0,1.75,8,57.14285714285714
111,Matthew Breetzke,LSG,14,1,1,0,14,14.00,12,116.66,0,0,1,1,14.0,10,71.42857142857143
112,Bhuvneshwar Kumar,RCB,14,14,6,3,8,4.67,25,56.0,0,0,1,0,1.0,4,28.57142857142857
113,Atharva Taide,SRH,13,1,1,0,13,13.00,9,144.44,0,0,3,0,13.0,12,92.3076923076923
114,Ravi Bishnoi,LSG,13,11,3,1,13,6.50,16,81.25,0,0,0,2,1.1818181818181819,12,92.3076923076923
115,Harpreet Brar,PBKS,11,8,2,1,7*,11.00,13,84.61,0,0,0,1,1.375,6,54.54545454545454
116,Xavier Bartlett,PBKS,11,4,1,0,11,11.00,15,73.33,0,0,1,0,2.75,4,36.36363636363637
117,Mohammad Shami,SRH,10,9,4,3,6*,10.00,10,100.0,0,0,1,0,1.1111111111111112,4,40.0
118,Dushmantha Chameera,DC,10,6,3,3,8*,-,14,71.42,0,0,0,0,1.6666666666666667,0,0.0
119,Maheesh Theekshana,RR,10,11,4,2,5,5.00,27,37.03,0,0,0,0,0.9090909090909091,0,0.0
120,Kagiso Rabada,GT,9,4,2,1,7*,9.00,8,112.5,0,0,0,1,2.25,6,66.66666666666666
121,Shahbaz Ahmed,LSG,9,3,1,0,9,9.00,8,112.5,0,0,1,0,3.0,4,44.44444444444444
122,Wiaan Mulder,SRH,9,1,1,0,9,9.00,11,81.81,0,0,1,0,9.0,4,44.44444444444444
123,Wanindu Hasaranga,RR,9,11,5,0,4,1.80,15,60.0,0,0,0,0,0.8181818181818182,0,0.0
124,Kwena Maphaka,RR,8,2,1,1,8*,-,2,400.0,0,0,2,0,4.0,8,100.0
125,Raj Angad Bawa,MI,8,3,1,1,8*,-,4,200.0,0,0,0,0,2.6666666666666665,0,0.0
126,Tushar Deshpande,RR,7,10,4,3,3,7.00,8,87.5,0,0,0,0,0.7,0,0.0
127,Suryansh Shedge,PBKS,7,5,3,0,4,2.33,11,63.63,0,0,0,0,1.4,0,0.0
128,Noor Ahmad,CSK,7,14,6,2,2*,1.75,17,41.17,0,0,0,0,0.5,0,0.0
129,Akash Deep,LSG,6,6,2,1,6*,6.00,2,300.0,0,0,0,1,1.0,6,100.0
130,Sandeep Sharma,RR,6,10,1,1,6*,-,5,120.0,0,0,0,0,0.6,0,0.0
131,Mitchell Starc,DC,6,11,6,4,2*,3.00,10,60.0,0,0,0,0,0.5454545454545454,0,0.0
132,Robin Minz,MI,6,2,2,0,3,3.00,15,40.0,0,0,0,0,3.0,0,0.0
133,Rovman Powell,KKR,5,2,1,0,5,5.00,5,100.0,0,0,1,0,2.5,4,80.0
134,Sai Kishore,GT,5,15,3,0,3,1.67,10,50.0,0,0,0,0,0.3333333333333333,0,0.0
135,Prince Yadav,LSG,5,6,2,2,4*,-,10,50.0,0,0,0,0,0.8333333333333334,0,0.0
136,Moeen Ali,KKR,5,6,2,0,5,2.50,14,35.71,0,0,0,0,0.8333333333333334,0,0.0
137,Lockie Ferguson,PBKS,4,4,1,1,4*,-,1,400.0,0,0,1,0,1.0,4,100.0
138,Yash Dayal,RCB,4,15,3,1,3,2.00,8,50.0,0,0,0,0,0.26666666666666666,0,0.0
139,Akash Madhwal,RR,4,4,1,1,4*,-,9,44.44,0,0,0,0,1.0,0,0.0
140,Madhav Tiwari,DC,3,1,1,0,3,3.00,4,75.0,0,0,0,0,3.0,0,0.0
141,Mohammed Siraj,GT,3,15,1,1,3*,-,4,75.0,0,0,0,0,0.2,0,0.0
142,Kumar Kartikeya Singh,RR,3,4,2,0,2,1.50,5,60.0,0,0,0,0,0.75,0,0.0
143,Simarjeet Singh,SRH,3,4,3,1,3*,1.50,7,42.85,0,0,0,0,0.75,0,0.0
144,Fazalhaq Farooqi,RR,2,5,1,1,2*,-,2,100.0,0,0,0,0,0.4,0,0.0
145,Trent Boult,MI,2,16,2,1,1*,2.00,3,66.66,0,0,0,0,0.125,0,0.0
146,Spencer Johnson,KKR,2,4,2,2,1*,-,4,50.0,0,0,0,0,0.5,0,0.0
147,Arshdeep Singh,PBKS,2,17,2,1,1*,2.00,6,33.33,0,0,0,0,0.11764705882352941,0,0.0
148,Varun Chakaravarthy,KKR,1,13,1,1,1*,-,1,100.0,0,0,0,0,0.07692307692307693,0,0.0
149,V Satyanarayana Penmetsa,MI,1,2,1,1,1*,-,1,100.0,0,0,0,0,0.5,0,0.0
150,Karn Sharma,MI,1,6,1,1,1*,-,1,100.0,0,0,0,0,0.16666666666666666,0,0.0
151,Khaleel Ahmed,CSK,1,14,2,2,1*,-,2,50.0,0,0,0,0,0.07142857142857142,0,0.0
152,Mohit Sharma,DC,1,8,2,1,1*,1.00,3,33.33,0,0,0,0,0.125,0,0.0
153,Donovan Ferreira,DC,1,1,1,0,1,1.00,3,33.33,0,0,0,0,1.0,0,0.0
154,Digvesh Singh,LSG,1,13,2,1,1,1.00,3,33.33,0,0,0,0,0.07692307692307693,0,0.0
155,Manoj Bhandage,RCB,1,1,1,0,1,1.00,4,25.0,0,0,0,0,1.0,0,0.0
